Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
0.108,-46.003,13.576,2.074,-0.474,1.378,    ,848.716,-64.809,296.049,132.423,-2.131,0.410
-0.736,-45.258,15.674,1.944,-0.428,1.314,    ,848.716,-64.808,296.048,133.354,-2.138,0.376
-1.255,-44.865,16.361,1.911,-0.389,1.317,    ,848.716,-64.808,296.048,134.236,-2.143,0.343
0.520,-44.169,16.459,1.902,-0.375,1.314,    ,848.716,-64.808,296.048,135.084,-2.148,0.311
-0.275,-43.041,16.704,1.740,-0.405,1.375,    ,848.716,-64.808,296.048,135.883,-2.152,0.281
0.598,-42.041,18.185,1.692,-0.407,1.347,    ,848.716,-64.808,296.048,136.715,-2.156,0.250
-0.137,-42.531,19.009,1.610,-0.331,1.346,    ,848.716,-64.808,296.048,137.646,-2.160,0.215
-0.530,-40.962,19.666,1.568,-0.394,1.264,    ,848.715,-64.808,296.048,138.096,-2.161,0.198
-0.245,-40.639,19.558,1.461,-0.279,1.255,    ,848.715,-64.808,296.048,139.044,-2.164,0.162
-0.559,-39.933,19.391,1.464,-0.278,1.256,    ,848.715,-64.808,296.048,139.976,-2.167,0.127
-0.490,-39.001,22.029,1.318,-0.291,1.183,    ,848.715,-64.808,296.048,140.874,-2.168,0.093
-1.010,-39.168,21.813,1.344,-0.239,1.159,    ,848.715,-64.808,296.047,141.806,-2.169,0.057
-0.500,-37.952,21.686,1.266,-0.289,1.174,    ,848.715,-64.807,296.047,142.737,-2.170,0.022
-0.382,-36.785,22.578,1.131,-0.250,1.136,    ,848.715,-64.807,296.047,143.652,-2.170,-0.013
-0.618,-36.020,23.873,1.080,-0.192,1.054,    ,848.715,-64.807,296.047,144.567,-2.170,-0.047
-0.588,-35.628,24.177,1.092,-0.209,1.065,    ,848.715,-64.807,296.047,145.399,-2.169,-0.079
-1.030,-34.402,24.618,0.925,-0.232,1.054,    ,848.715,-64.807,296.047,146.314,-2.167,-0.113
-0.549,-33.872,24.481,0.878,-0.224,1.077,    ,848.715,-64.807,296.047,147.146,-2.165,-0.145
-0.863,-32.980,26.226,0.776,-0.104,0.953,    ,848.715,-64.807,296.047,147.895,-2.163,-0.173
-0.128,-31.852,26.903,0.713,-0.200,1.050,    ,848.715,-64.807,296.047,148.826,-2.160,-0.208
-0.373,-30.724,25.893,0.731,-0.226,0.978,    ,848.714,-64.807,296.047,149.658,-2.157,-0.240
-0.932,-30.832,26.138,0.694,-0.147,0.952,    ,848.714,-64.806,296.047,150.623,-2.153,-0.276
-0.255,-29.695,26.668,0.675,-0.201,0.993,    ,848.714,-64.806,296.047,151.089,-2.150,-0.293
-0.471,-29.214,28.050,0.566,-0.093,0.946,    ,848.714,-64.806,296.047,152.004,-2.145,-0.328
